part_id,activity_status,number_of_other_work_contacts
17753,2,30
66974,1,0
75729,2,60
26107,3,0
80480,1,0
59516,2,60
80253,1,0
90024,2,0
77162,1,0
53965,1,0
27452,1,0
47313,1,0
62921,2,0
25342,1,0
13730,1,0
22900,2,0
81821,2,0
14950,2,0
59448,1,0
76869,1,0
20063,2,0
16019,1,0
15615,2,0
24414,2,0
39930,1,0
86664,2,0
67830,1,0
58844,1,0
33542,1,0
76704,2,0
94103,1,0
54397,3,0
78781,1,0
74370,2,0
31686,1,0
48926,1,0
55949,2,0
83082,1,0
34446,2,500
29891,1,0
90834,1,0
65111,1,0
29428,2,0
14259,2,0
93740,1,0
84233,2,0
54694,3,0
63128,1,0
83878,1,0
90733,2,25
76918,1,0
32346,1,0
36633,2,0
65702,2,0
68595,1,0
51900,2,0
52615,1,0
47727,2,0
94813,1,0
92867,2,0
94866,1,0
74327,1,0
32565,1,0
74948,2,15
54124,1,0
28568,1,0
94355,1,0
94465,1,0
55643,2,0
43116,1,0
72491,3,0
63723,1,0
48728,2,100
89555,1,0
37197,2,30
82090,1,0
34033,1,0
23751,2,30
99615,1,0
54804,1,0
82778,1,0
96160,2,40
52156,1,0
95426,1,0
82966,1,0
36433,2,0
80470,1,0
30090,2,116
97259,2,0
15817,1,0
30550,2,0
56973,1,0
60099,2,0
90007,2,60
95682,1,0
80991,3,0
78355,1,0
82950,2,0
92705,1,0
92211,1,0
73440,1,0
80497,2,0
33185,2,0
48884,1,0
11238,1,0
16621,1,0
65504,3,0
29029,1,0
43113,1,0
82206,2,50
11039,2,0
33946,1,0
68050,1,0
83207,2,0
87645,1,0
91736,2,0
43916,3,0
83028,1,0
16448,1,0
24136,1,0
44743,2,0
73154,1,0
43562,2,0
72174,1,0
76987,2,0
56769,1,0
35373,2,52
65149,1,0
63588,1,0
83807,1,0
15927,2,30
43758,1,0
51461,2,10
75716,2,0
46189,1,0
70389,1,0
65275,2,0
25103,1,0
58882,1,0
71327,3,0
19876,1,0
78095,3,0
61416,1,0
80908,1,0
32661,1,0
17403,1,0
97737,2,0
62123,1,0
75978,2,0
37752,2,0
35551,1,0
56293,1,0
83195,1,0
22754,1,0
42800,2,0
15420,1,0
71104,2,0
91247,1,0
92571,1,0
51335,1,0
47070,3,0
38109,1,0
54132,3,0
23973,1,0
52056,3,0
90034,2,0
80186,1,0
40694,2,0
61247,1,0
66936,1,0
77145,2,0
35271,2,0
24667,1,0
82204,1,0
28787,2,15
55525,1,0
95485,1,0
96213,1,0
53606,2,0
84178,1,0
48466,2,0
82904,1,0
12792,2,0
83745,3,0
30239,1,0
26952,1,0
97374,1,0
45963,1,0
54580,3,0
38798,2,0
86609,1,0
18083,2,0
58375,1,0
57947,1,0
13402,2,0
97645,1,0
24867,2,0
85768,2,18
88492,1,0
41458,2,0
76406,2,0
87514,1,0
58728,3,0
14288,1,0
35256,1,0
60548,1,0
46821,2,0
56675,1,0
84215,2,20
63523,1,0
56308,2,0
48846,1,0
68218,2,0
40619,1,0
20060,2,0
31411,1,0
31174,1,0
82548,1,0
93371,2,15
86561,1,0
31163,1,0
82809,2,0
51780,1,0
28225,2,0
29905,1,0
55804,2,20
56030,1,0
63576,2,0
59423,2,0
19708,3,0
49373,1,0
13584,2,0
95166,1,0
54146,2,30
15387,1,0
32254,1,0
16765,1,0
12002,2,0
73220,2,30
30491,1,0
47981,1,0
81922,2,0
48817,1,0
18678,2,0
47232,2,0
21781,2,0
39447,1,0
16365,1,0
83806,1,0
81871,1,0
74748,1,0
38412,1,0
71971,2,0
32804,2,0
86734,1,0
23370,2,80
66506,1,0
15820,1,0
30985,2,68
90440,1,0
22106,2,0
81799,1,0
46700,2,0
70427,1,0
79110,2,5
24535,2,90
84906,1,0
89215,3,0
65035,2,0
52065,1,0
61910,3,0
85618,1,0
23805,1,0
85135,1,0
63161,3,0
85241,1,0
56171,2,0
90676,2,0
93403,1,0
91237,2,0
84880,1,0
50135,2,0
54612,1,0
85505,2,60
87737,1,0
26153,2,0
57262,1,0
42856,2,150
13478,1,0
72495,1,0
27131,1,0
20067,2,0
54456,1,0
81906,2,0
17230,1,0
20827,2,0
35056,1,0
53486,2,40
49391,1,0
24069,1,0
22000,2,3
67197,2,5
28846,1,0
12181,3,0
74257,1,0
95646,1,0
45439,3,0
93932,1,0
78730,1,0
44763,1,0
15484,2,0
70760,1,0
10700,2,15
97170,2,35
30229,1,0
17554,2,0
87308,1,0
46830,2,0
64751,1,0
46186,2,0
51756,3,0
32722,1,0
72573,1,0
72876,1,0
10105,2,15
30527,1,0
10018,2,0
39717,2,0
35640,1,0
17470,2,0
96397,1,0
34713,1,0
65932,2,50
32802,2,0
72779,1,0
84824,2,200
20447,1,0
30519,2,0
89337,1,0
37734,2,50
16057,1,0
53575,2,0
38340,1,0
35770,1,0
93810,1,0
40030,3,0
97783,2,0
45998,1,0
20132,1,0
74676,1,0
59776,2,0
69396,1,0
44581,1,0
38827,1,0
23941,2,0
12310,2,12
12082,1,0
23595,1,0
74871,2,0
69811,1,0
18354,3,0
42509,1,0
14211,3,0
95186,2,30
64496,1,0
92527,1,0
49084,3,0
34949,1,0
38170,2,35
25786,1,0
10246,1,0
87882,2,37
15695,1,0
94191,2,0
47798,2,30
26103,1,0
37054,1,0
34624,2,0
36475,1,0
47736,1,0
58111,1,0
27938,1,0
78100,2,40
78339,1,0
95228,1,0
12965,1,0
60763,1,0
10187,2,65
48256,1,0
17587,2,70
48299,3,0
74725,1,0
23703,1,0
16526,2,60
57856,1,0
39603,1,0
74802,2,18
53064,1,0
45352,2,0
21873,1,0
40338,1,0
53986,1,0
79639,1,0
39188,3,0
69029,2,0
43738,1,0
57349,1,0
33363,1,0
79724,1,0
60698,1,0
62474,1,0
13193,1,0
49823,1,0
50352,2,0
13144,3,0
45831,1,0
21818,1,0
99075,1,0
10306,1,0
14587,2,30
21692,1,0
11539,2,0
13019,1,0
39562,1,0
29237,2,0
63651,2,10
36861,1,0
18978,3,0
27387,1,0
62309,1,0
42619,2,0
19628,1,0
48991,1,0
19598,2,75
87071,1,0
40850,3,0
34867,3,0
94788,1,0
99489,1,0
37787,2,0
39887,3,0
45920,1,0
43302,1,0
15578,2,0
85891,1,0
63624,2,0
38757,2,0
72311,1,0
45286,1,0
66047,1,0
21992,2,0
73153,1,0
72822,1,0
98301,2,0
49082,1,0
79881,1,0
59959,3,0
76236,1,0
71859,2,50
62951,1,0
83253,2,0
76189,1,0
19610,2,0
17952,1,0
12541,1,0
76391,2,0
13468,1,0
37763,2,0
49116,3,0
65301,1,0
75621,2,0
97189,2,0
87348,1,0
55517,1,0
88931,2,30
80149,1,0
59587,1,0
50905,2,0
17213,1,0
84087,1,0
29313,2,10
89434,1,0
64739,2,30
44565,1,0
96758,2,0
84594,2,0
32664,1,0
13336,2,0
69878,1,0
91492,1,0
69741,1,0
67414,2,0
49226,1,0
67282,2,0
83374,2,0
35571,1,0
25873,1,0
87513,3,0
17775,2,0
45487,1,0
36000,1,0
46596,1,0
71944,1,0
31159,2,52
40525,1,0
46441,1,0
50566,3,0
53197,1,0
80810,1,0
31023,1,0
24698,1,0
36401,2,0
93339,1,0
73213,1,0
19679,1,0
86370,2,0
70233,1,0
33371,2,0
86868,1,0
72169,2,0
76304,1,0
40143,2,0
48415,2,0
75748,1,0
86704,3,0
40062,2,0
84217,1,0
27145,3,0
18380,2,0
46048,1,0
22439,1,0
99865,2,0
93549,1,0
39869,1,0
53653,1,0
83637,2,0
48654,1,0
98245,1,0
34492,1,0
65167,1,0
47413,2,0
71264,1,0
55872,3,0
95190,1,0
24491,2,0
97402,2,0
69775,1,0
87825,1,0
16724,2,18
37960,1,0
55102,2,0
50828,2,0
91079,1,0
81631,1,0
15932,2,0
76136,1,0
77402,2,0
10055,1,0
26143,1,0
16196,2,0
21452,2,0
47318,1,0
61925,2,0
92008,3,0
75824,1,0
89205,2,150
23787,2,0
26674,1,0
50569,1,0
72412,2,0
60174,2,0
55768,1,0
24312,2,0
35907,1,0
80712,2,0
67181,1,0
69555,2,0
13354,1,0
31388,2,0
86311,1,0
83588,1,0
13045,2,0
67788,2,0
62411,1,0
41240,1,0
95352,1,0
25706,3,0
24170,2,0
41768,2,0
42620,1,0
78496,2,0
89782,1,0
72074,1,0
13836,1,0
97044,2,0
37071,1,0
65124,2,0
58638,2,500
87642,1,0
30935,2,0
73963,1,0
17407,1,0
30548,1,0
21587,1,0
39303,1,0
15616,1,0
15152,2,0
17261,2,6
53761,1,0
12556,3,0
67679,1,0
32241,2,0
11309,1,0
25004,2,0
55088,1,0
33949,2,0
62277,1,0
54033,2,0
27245,1,0
25893,2,60
40386,1,0
77597,3,0
67387,1,0
37742,1,0
24497,2,0
92201,2,0
58248,1,0
77298,1,0
52954,2,98
86652,1,0
98606,2,0
