part_id,hh_size
3825,5
4793,4
4845,3
13427,4
15907,4
119730,4
120537,4
135807,4
149733,4
154610,4
180147,4
190034,3
207475,4
213625,4
215529,5
221758,4
255230,6
272791,5
274046,4
285152,4
293473,3
318752,4
339803,3
441492,4
447012,3
482513,5
487509,3
543398,2
614776,4
662350,4
680606,4
723543,4
726871,4
751825,4
892028,4
932792,5
1177291,3
1421646,6
1432206,4
1454172,4
1602823,4
1676207,3
1759211,4
2038522,4
2070031,3
2109526,2
2255669,5
2325729,4
2398180,4
2435783,4
2439480,3
2452344,2
2470798,4
2484669,4
2874689,5
2991872,3
3042290,4
3491228,4
3686261,3
4050797,3
4057951,3
4172139,3
4245014,3
4334509,3
4371799,3
4372152,3
4678670,3
4897338,5
5245145,4
5245419,4
5347805,5
5461565,4
5559980,4
5928624,4
5956252,3
5957632,4
6141979,5
6192076,4
6323991,5
6540209,4
7200106,4
7336623,4
7566022,4
7583935,5
7737833,2
8103139,3
8210421,5
8269554,4
8345283,2
8516142,4
8569908,4
9352632,3
9352642,4
9447989,5
9571866,4
9654869,7
9749638,4
9762167,4
9904363,3
9935357,4
10002090,3
10002570,4
10002738,4
10002760,4
10002861,5
20033306,4
20033321,3
20033323,4
20033325,6
20033326,4
20033339,3
20033354,4
20033367,4
20033390,3
20033426,4
20033451,5
20033463,5
20033467,4
20033488,4
20033492,5
20033555,3
20033571,4
20033614,5
20033639,3
20033783,4
20034297,3
20034484,4
20034486,4
20034514,4
20034929,3
20035014,3
20035017,4
20035168,4
20035169,3
20035266,4
20035383,4
20035520,4
20035528,3
20035532,4
20035539,3
20035818,4
20035877,5
20035966,3
20036338,4
20036340,6
20036344,3
20036372,4
20036548,3
20037423,5
20037425,4
20037430,4
20037434,4
20037559,4
20037602,3
20037838,4
20037844,4
20037957,2
20056001,5
20056009,5
20056042,5
20056073,5
20056117,5
20056197,5
20056208,4
20056222,4
20056233,3
20056265,4
20056399,4
20056407,5
20056422,3
20056424,4
20056435,5
20056466,4
20056616,6
20056800,4
20056814,5
20056914,4
20056985,6
20057015,5
20057062,4
20057108,2
20057252,3
20057505,5
20057516,5
20057590,4
20057788,4
20057835,3
20057839,4
20057898,2
20057933,5
20057976,3
20058001,4
20058101,4
20058109,4
20058229,3
20058268,6
20058305,4
20058452,3
20058543,7
20058597,2
20058682,2
20058790,4
20058846,3
20058951,4
20058971,3
20059172,3
20059282,4
20059317,3
20059400,4
20059443,4
20059501,4
20059570,5
20059651,5
20059716,5
20059792,4
20059874,4
20060159,4
20060235,4
20060465,3
20060489,4
20060891,4
20060979,6
20061097,6
20061102,4
20061236,3
20061523,3
20061710,4
20062027,4
20062087,2
20062120,4
20062128,5
20062297,4
20062397,3
20062412,4
20062442,4
20062567,3
20062605,6
20062621,4
20062902,3
20063116,5
20063153,3
20063210,4
20063251,4
20063275,5
20063413,5
20063441,4
20063671,5
20063673,4
20063769,4
20064030,3
20064038,4
20064059,4
20064084,3
20064505,4
20064902,5
20064938,4
20065636,6
20065927,4
20066001,4
20066067,5
20066423,3
20066430,4
20066523,3
20066747,4
20067000,3
20067864,4
20068173,4
20068314,3
20068410,4
20068540,4
20068825,5
20069279,4
20069445,4
20069608,4
20070044,4
20070116,3
20070176,3
20070554,5
20071114,4
20071116,5
20071118,4
20071795,5
20072184,3
20072737,4
20073017,3
20073743,5
20073754,6
20073772,3
20073820,4
20084150,6
20085821,4
20086455,5
20086527,3
20086954,6
20087099,5
20087242,3
20087888,4
20088801,4
20089263,4
20089496,4
20089676,5
20089990,5
20090121,4
20090144,5
20091402,3
20091635,5
20092411,4
20092458,5
20092624,4
20092717,4
20093812,3
30185177,2
30185312,4
30185456,5
30185480,4
30185514,4
30185749,4
382500001,5
382500002,5
382500003,5
382500004,5
479300001,4
479300002,4
479300003,4
484500001,3
484500002,3
1342700001,4
1342700002,4
1342700003,4
1590700001,4
1590700002,4
1590700003,4
11973000001,4
11973000002,4
11973000003,4
12053700001,4
12053700002,4
12053700003,4
13580700001,4
13580700002,4
13580700003,4
14973300001,4
14973300002,4
14973300003,4
15461000001,4
15461000002,4
15461000003,4
18014700001,4
18014700002,4
18014700003,4
19003400001,3
19003400002,3
20747500001,4
20747500002,4
20747500003,4
21362500001,4
21362500002,4
21362500003,4
21552900001,5
21552900002,5
21552900003,5
21552900004,5
22175800001,4
22175800002,4
22175800003,4
25523000001,6
25523000002,6
25523000003,6
25523000004,6
25523000005,6
27279100001,5
27279100002,5
27279100003,5
27279100004,5
27404600001,4
27404600002,4
27404600003,4
28515200001,4
28515200002,4
28515200003,4
29347300001,3
29347300002,3
31875200001,4
31875200002,4
31875200003,4
33980300001,3
33980300002,3
44149200001,4
44149200002,4
44149200003,4
44701200001,3
44701200002,3
48251300001,5
48251300002,5
48251300003,5
48251300004,5
48750900001,3
48750900002,3
54339800001,2
61477600001,4
61477600002,4
61477600003,4
66235000001,4
66235000002,4
66235000003,4
68060600001,4
68060600002,4
68060600003,4
72354300001,4
72354300002,4
72354300003,4
72687100001,4
72687100002,4
72687100003,4
75182500001,4
75182500002,4
75182500003,4
89202800001,4
89202800002,4
89202800003,4
93279200001,5
93279200002,5
93279200003,5
93279200004,5
117729100001,3
117729100002,3
142164600001,6
142164600002,6
142164600003,6
142164600004,6
142164600005,6
143220600001,4
143220600002,4
143220600003,4
145417200001,4
145417200002,4
145417200003,4
160282300001,4
160282300002,4
160282300003,4
167620700001,3
167620700002,3
175921100001,4
175921100002,4
175921100003,4
200566160002,6
203852200001,4
203852200002,4
203852200003,4
207003100001,3
207003100002,3
210952600001,2
225566900001,5
225566900002,5
225566900003,5
225566900004,5
232572900001,4
232572900002,4
232572900003,4
239818000001,4
239818000002,4
239818000003,4
243578300001,4
243578300002,4
243578300003,4
243948000001,3
243948000002,3
245234400001,2
247079800001,4
247079800002,4
247079800003,4
248466900001,4
248466900002,4
248466900003,4
287468900002,5
287468900003,5
287468900004,5
287468900005,5
299187200001,3
299187200002,3
304229000001,4
304229000002,4
304229000003,4
349122800001,4
349122800002,4
349122800003,4
368626100001,3
368626100002,3
405079700001,3
405079700002,3
405795100001,3
405795100002,3
417213900001,3
417213900002,3
424501400001,3
424501400002,3
433450900001,3
433450900002,3
437179900001,3
437179900002,3
437215200001,3
437215200002,3
467867000001,3
467867000002,3
489733800001,5
489733800002,5
489733800003,5
489733800004,5
524514500001,4
524514500002,4
524514500003,4
524541900001,4
524541900002,4
524541900003,4
534780500001,5
534780500002,5
534780500003,5
534780500004,5
546156500001,4
546156500002,4
546156500003,4
555998000001,4
555998000002,4
555998000003,4
592862400001,4
592862400002,4
592862400003,4
595625200001,3
595625200002,3
595763200001,4
595763200002,4
595763200003,4
614197900001,5
614197900002,5
614197900003,5
614197900004,5
619207600001,4
619207600002,4
619207600003,4
632399100001,5
632399100002,5
632399100003,5
632399100004,5
654020900001,4
654020900002,4
654020900003,4
720010600001,4
720010600002,4
720010600003,4
733662300001,4
733662300002,4
733662300003,4
756602200001,4
756602200002,4
756602200003,4
758393500001,5
758393500002,5
758393500003,5
758393500004,5
773783300001,2
810313900001,3
810313900002,3
821042100001,5
821042100002,5
821042100003,5
821042100004,5
826955400001,4
826955400002,4
826955400003,4
834528300001,2
840070500001,4
840070500002,4
840070500003,4
840070500004,4
851614200001,4
851614200002,4
851614200003,4
856990800001,4
856990800002,4
856990800003,4
935263200001,3
935263200002,3
935264200001,4
935264200002,4
935264200003,4
944798900001,5
944798900002,5
944798900003,5
944798900004,5
957186600001,4
957186600002,4
957186600003,4
965486900001,7
965486900002,7
965486900003,7
965486900004,7
965486900005,7
965486900006,7
974963800001,4
974963800002,4
974963800003,4
976216700001,4
976216700002,4
976216700003,4
990436300001,3
990436300002,3
993535700001,4
993535700002,4
993535700003,4
1000209000001,3
1000209000002,3
1000257000001,4
1000257000002,4
1000257000003,4
1000273800001,4
1000273800002,4
1000273800003,4
1000276000001,4
1000276000002,4
1000276000003,4
1000286100001,5
1000286100002,5
1000286100003,5
1000286100004,5
2003330600001,4
2003330600002,4
2003330600003,4
2003332100001,3
2003332100002,3
2003332300001,4
2003332300002,4
2003332300003,4
2003332500001,6
2003332500002,6
2003332500003,6
2003332500004,6
2003332500005,6
2003332600001,4
2003332600002,4
2003332600003,4
2003333900001,3
2003333900002,3
2003335400001,4
2003335400002,4
2003335400003,4
2003336700001,4
2003336700002,4
2003336700003,4
2003339000001,3
2003339000002,3
2003342600001,4
2003342600002,4
2003342600003,4
2003345100001,5
2003345100002,5
2003345100003,5
2003345100004,5
2003346300001,5
2003346300002,5
2003346300003,5
2003346300004,5
2003346700001,4
2003346700002,4
2003346700003,4
2003348800001,4
2003348800002,4
2003348800003,4
2003349200001,5
2003349200002,5
2003349200003,5
2003349200004,5
2003355500001,3
2003355500002,3
2003357100001,4
2003357100002,4
2003357100003,4
2003361400001,5
2003361400002,5
2003361400003,5
2003361400004,5
2003363900001,3
2003363900002,3
2003378300001,4
2003378300002,4
2003378300003,4
2003429700001,3
2003429700002,3
2003448400001,4
2003448400002,4
2003448400003,4
2003448600001,4
2003448600002,4
2003448600003,4
2003451400001,4
2003451400002,4
2003451400003,4
2003492900001,3
2003492900002,3
2003501400001,3
2003501400002,3
2003501700001,4
2003501700002,4
2003501700003,4
2003516800001,4
2003516800002,4
2003516800003,4
2003516900001,3
2003516900002,3
2003526600001,4
2003526600002,4
2003526600003,4
2003538300001,4
2003538300002,4
2003538300003,4
2003552000001,4
2003552000002,4
2003552000003,4
2003552800001,3
2003552800002,3
2003553200001,4
2003553200002,4
2003553200003,4
2003553900001,3
2003553900002,3
2003581800001,4
2003581800002,4
2003581800003,4
2003587700001,5
2003587700002,5
2003587700003,5
2003587700004,5
2003596600001,3
2003596600002,3
2003633800001,4
2003633800002,4
2003633800003,4
2003634000001,6
2003634000002,6
2003634000003,6
2003634000004,6
2003634000005,6
2003634400001,3
2003634400002,3
2003637200001,4
2003637200002,4
2003637200003,4
2003654800001,3
2003654800002,3
2003742300001,5
2003742300002,5
2003742300003,5
2003742300004,5
2003742500001,4
2003742500002,4
2003742500003,4
2003743000001,4
2003743000002,4
2003743000003,4
2003743400001,4
2003743400002,4
2003743400003,4
2003755900001,4
2003755900002,4
2003755900003,4
2003760200001,3
2003760200002,3
2003783800001,4
2003783800002,4
2003783800003,4
2003784400001,4
2003784400002,4
2003784400003,4
2003795700001,2
2005600100001,5
2005600100002,5
2005600100003,5
2005600100004,5
2005600900001,5
2005600900002,5
2005600900003,5
2005600900004,5
2005604200001,5
2005604200002,5
2005604200003,5
2005604200004,5
2005607300001,5
2005607300002,5
2005607300003,5
2005607300004,5
2005611700001,5
2005611700002,5
2005611700003,5
2005611700004,5
2005619700001,5
2005619700002,5
2005619700003,5
2005619700004,5
2005620800001,4
2005620800002,4
2005620800003,4
2005622200001,4
2005622200002,4
2005622200003,4
2005623300001,3
2005623300002,3
2005626500001,4
2005626500002,4
2005626500003,4
2005639900001,4
2005639900002,4
2005639900003,4
2005640700001,5
2005640700002,5
2005640700003,5
2005640700004,5
2005642200001,3
2005642200002,3
2005642400001,4
2005642400002,4
2005642400003,4
2005643500001,5
2005643500002,5
2005643500003,5
2005643500004,5
2005646600001,4
2005646600002,4
2005646600003,4
2005661600001,6
2005661600003,6
2005661600004,6
2005661600005,6
2005680000001,4
2005680000002,4
2005680000003,4
2005681400001,5
2005681400002,5
2005681400003,5
2005681400004,5
2005691400001,4
2005691400002,4
2005691400003,4
2005698500001,6
2005698500002,6
2005698500003,6
2005698500004,6
2005698500005,6
2005701500001,5
2005701500002,5
2005701500003,5
2005701500004,5
2005706200001,4
2005706200002,4
2005706200003,4
2005710800001,2
2005725200001,3
2005725200002,3
2005750500001,5
2005750500002,5
2005750500003,5
2005750500004,5
2005751600001,5
2005751600002,5
2005751600003,5
2005751600004,5
2005759000001,4
2005759000002,4
2005759000003,4
2005778800001,4
2005778800002,4
2005778800003,4
2005783500001,3
2005783500002,3
2005783900001,4
2005783900002,4
2005783900003,4
2005789800001,2
2005793300001,5
2005793300002,5
2005793300003,5
2005793300004,5
2005797600001,3
2005797600002,3
2005800100001,4
2005800100002,4
2005800100003,4
2005810100001,4
2005810100002,4
2005810100003,4
2005810900001,4
2005810900002,4
2005810900003,4
2005822900001,3
2005822900002,3
2005826800001,6
2005826800002,6
2005826800003,6
2005826800004,6
2005826800005,6
2005830500001,4
2005830500002,4
2005830500003,4
2005845200001,3
2005845200002,3
2005854300001,7
2005854300002,7
2005854300003,7
2005854300004,7
2005854300005,7
2005854300006,7
2005859700001,2
2005868200001,2
2005879000001,4
2005879000002,4
2005879000003,4
2005884600001,3
2005884600002,3
2005895100001,4
2005895100002,4
2005895100003,4
2005897100001,3
2005897100002,3
2005917200001,3
2005917200002,3
2005928200001,4
2005928200002,4
2005928200003,4
2005931700001,3
2005931700002,3
2005940000001,4
2005940000002,4
2005940000003,4
2005944300001,4
2005944300002,4
2005944300003,4
2005950100001,4
2005950100002,4
2005950100003,4
2005957000001,5
2005957000002,5
2005957000003,5
2005957000004,5
2005965100001,5
2005965100002,5
2005965100004,5
2005965100003,5
2005971600001,5
2005971600002,5
2005971600003,5
2005971600004,5
2005979200001,4
2005979200002,4
2005979200003,4
2005987400001,4
2005987400002,4
2005987400003,4
2006015900001,4
2006015900002,4
2006015900003,4
2006023500001,4
2006023500002,4
2006023500003,4
2006046500001,3
2006046500002,3
2006048900001,4
2006048900002,4
2006048900003,4
2006089100001,4
2006089100002,4
2006089100003,4
2006097900001,6
2006097900002,6
2006097900003,6
2006097900004,6
2006097900005,6
2006109700001,6
2006109700002,6
2006109700003,6
2006109700004,6
2006109700005,6
2006110200001,4
2006110200002,4
2006110200003,4
2006123600001,3
2006123600002,3
2006152300001,3
2006152300002,3
2006171000001,4
2006171000002,4
2006171000003,4
2006202700001,4
2006202700002,4
2006202700003,4
2006208700001,2
2006212000001,4
2006212000002,4
2006212000003,4
2006212800001,5
2006212800002,5
2006212800003,5
2006212800004,5
2006229700001,4
2006229700002,4
2006229700003,4
2006239700001,3
2006239700002,3
2006241200001,4
2006241200002,4
2006241200003,4
2006244200001,4
2006244200002,4
2006244200003,4
2006256700001,3
2006256700002,3
2006260500001,6
2006260500002,6
2006260500003,6
2006260500004,6
2006260500005,6
2006262100001,4
2006262100002,4
2006262100003,4
2006290200001,3
2006290200002,3
2006311600001,5
2006311600002,5
2006311600003,5
2006311600004,5
2006315300001,3
2006315300002,3
2006321000001,4
2006321000002,4
2006321000003,4
2006325100001,4
2006325100002,4
2006325100003,4
2006327500001,5
2006327500002,5
2006327500003,5
2006327500004,5
2006341300001,5
2006341300002,5
2006341300003,5
2006341300004,5
2006344100001,4
2006344100002,4
2006344100003,4
2006367100001,5
2006367100002,5
2006367100003,5
2006367100004,5
2006367300001,4
2006367300002,4
2006367300003,4
2006376900001,4
2006376900002,4
2006376900003,4
2006403000001,3
2006403000003,3
2006403800001,4
2006403800002,4
2006403800003,4
2006405900001,4
2006405900002,4
2006405900003,4
2006408400001,3
2006408400002,3
2006450500001,4
2006450500002,4
2006450500003,4
2006490200001,5
2006490200002,5
2006490200003,5
2006490200004,5
2006493800001,4
2006493800002,4
2006493800003,4
2006563600001,6
2006563600002,6
2006563600003,6
2006563600004,6
2006563600005,6
2006592700001,4
2006592700002,4
2006592700003,4
2006600100001,4
2006600100002,4
2006600100003,4
2006606700001,5
2006606700002,5
2006606700003,5
2006606700004,5
2006642300001,3
2006642300002,3
2006643000001,4
2006643000002,4
2006643000003,4
2006652300001,3
2006652300002,3
2006674700001,4
2006674700002,4
2006674700003,4
2006700000001,3
2006700000002,3
2006786400001,4
2006786400002,4
2006786400003,4
2006817300001,4
2006817300002,4
2006817300003,4
2006831400001,3
2006831400002,3
2006841000001,4
2006841000002,4
2006841000003,4
2006854000001,4
2006854000002,4
2006854000003,4
2006882500001,5
2006882500002,5
2006882500003,5
2006882500004,5
2006927900001,4
2006927900002,4
2006927900003,4
2006944500001,4
2006944500002,4
2006944500003,4
2006960800001,4
2006960800002,4
2006960800003,4
2007004400001,4
2007004400002,4
2007004400003,4
2007011600001,3
2007011600002,3
2007017600001,3
2007017600002,3
2007055400001,5
2007055400002,5
2007055400003,5
2007055400004,5
2007111400001,4
2007111400002,4
2007111400003,4
2007111600001,5
2007111600002,5
2007111600003,5
2007111600004,5
2007111800001,4
2007111800002,4
2007111800003,4
2007179500001,5
2007179500002,5
2007179500003,5
2007179500004,5
2007218400001,3
2007218400002,3
2007273700001,4
2007273700002,4
2007273700003,4
2007301700001,3
2007301700002,3
2007374300001,5
2007374300002,5
2007374300003,5
2007374300004,5
2007375400001,6
2007375400002,6
2007375400003,6
2007375400004,6
2007375400005,6
2007377200001,3
2007377200002,3
2007382000001,4
2007382000002,4
2007382000003,4
2008415000001,6
2008415000002,6
2008415000003,6
2008415000004,6
2008415000005,6
2008582100001,4
2008582100002,4
2008582100003,4
2008645500001,5
2008645500002,5
2008645500003,5
2008645500004,5
2008652700001,3
2008652700002,3
2008695400001,6
2008695400002,6
2008695400003,6
2008695400004,6
2008695400005,6
2008709900001,5
2008709900002,5
2008709900003,5
2008709900004,5
2008724200001,3
2008724200002,3
2008788800001,4
2008788800002,4
2008788800003,4
2008880100001,4
2008880100002,4
2008880100003,4
2008926300001,4
2008926300002,4
2008926300003,4
2008949600001,4
2008949600002,4
2008949600003,4
2008967600001,5
2008967600002,5
2008967600003,5
2008967600004,5
2008999000001,5
2008999000002,5
2008999000003,5
2008999000004,5
2009012100001,4
2009012100002,4
2009012100003,4
2009014400001,5
2009014400002,5
2009014400003,5
2009014400004,5
2009140200001,3
2009140200002,3
2009163500001,5
2009163500002,5
2009163500003,5
2009163500004,5
2009241100001,4
2009241100002,4
2009241100003,4
2009245800001,5
2009245800002,5
2009245800003,5
2009245800004,5
2009262400001,4
2009262400002,4
2009262400003,4
2009271700001,4
2009271700002,4
2009271700003,4
2009381200001,3
2009381200002,3
3018517700001,2
3018531200001,4
3018531200002,4
3018531200003,4
3018545600001,5
3018545600002,5
3018545600003,5
3018545600004,5
3018548000001,4
3018548000002,4
3018548000003,4
3018551400001,4
3018551400002,4
3018551400003,4
3018574900001,4
3018574900002,4
3018574900003,4
